index,plane_label,ifc_type,ifc_global_id,ifc_name
0,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
1,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
2,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
3,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
4,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
5,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
6,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
7,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
8,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
9,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
10,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
11,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
12,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
13,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
14,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
15,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
16,unlabeled,,,
17,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
18,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
19,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
20,plane_02,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
21,plane_01,IfcWall,20rBv4HojAY8M3avWLHAad,Basic Wall:Basic wall ex:1201738
22,plane_03,IfcWall,3S3VgMDFLDiPHeIJPk5HSc,Basic Wall:Basic wall ex:1200762
23,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
